"","Chamber","Channel","Temp.TRT","Leaf.spp.","Beg.Date","Beg.Length.mm","beg.mass.mg","End.Date","End.Length.mm","end.mass.mg","Days.in.expt","igr","igr_norm"
"41","A084","2C",2,"Acer","12-Mar-19",7.59,4.36184935210748,"17-Apr-19",7.668,4.48563405827507,36,0.000777325773459101,0.000178210137652628
"42","A085","2C",2,"Acer","12-Mar-19",9.022,7.00023705708196,"17-Apr-19",9.508,8.0812582955038,36,0.00398898822974003,0.000569836163720266
"43","A088","2C",2,"Acer","12-Mar-19",8.34,5.64521389693493,"17-Apr-19",7.79,4.68367706262351,36,-0.00518679415854589,-0.000918794974511429
"44","A089","2C",2,"Acer","12-Mar-19",7.777,4.66231525553908,"17-Apr-19",7.306,3.92952605152055,36,-0.00474981499102226,-0.00101876744293068
"45","A090","2C",2,"Acer","12-Mar-19",8.332,5.6304051857765,"17-Apr-19",8.135,5.27348306447767,36,-0.00181917614793839,-0.00032309862042149
"46","A093","1A",1,"Acer","12-Mar-19",7.538,4.28054392271103,"17-Apr-19",7.613,4.39812154820507,36,0.000752706740010662,0.00017584371369654
"47","A094","1A",1,"Acer","12-Mar-19",7.6,4.37759644936083,"17-Apr-19",7.32,3.95016967124781,36,-0.00285392458823003,-0.000651938711401032
"48","A095","1A",1,"Acer","12-Mar-19",7.579,4.34456911987815,"17-Apr-19",6.928,3.39775989752339,36,-0.00682806183612299,-0.00157163153530735
"49","A096","1A",1,"Acer","12-Mar-19",8.772,6.48201232608903,"17-Apr-19",8.429,5.81163031813876,36,-0.00303249636866089,-0.000467832552007899
"50","A097","1A",1,"Acer","12-Mar-19",7.884,4.83998937540612,"17-Apr-19",8.222,5.42928029623776,36,0.00319150159638687,0.000659402603775153
"51","A098","1A",1,"Acer","12-Mar-19",7.585,4.35398930439768,"17-Apr-19",7.927,4.91258260673947,36,0.00335298017683972,0.000770093801896365
"52","A105","4C",4,"Acer","12-Mar-19",7.605,4.38548350764118,"17-Apr-19",7.787,4.67874191361893,36,0.00179803800467759,0.00040999766651607
"53","A106","4C",4,"Acer","12-Mar-19",7.88,4.83327135689916,"17-Apr-19",8.828,6.59590061955837,36,0.00863679999566972,0.00178694705053986
"54","A113","1B",1,"Acer","12-Mar-19",8.594,6.1283222288008,"17-Apr-19",9.226,7.44201831973991,36,0.00539502993071094,0.000880343710609135
"55","A114","1B",1,"Acer","12-Mar-19",7.959,4.9670513378579,"17-Apr-19",8.312,5.59349133238298,36,0.00329936910713018,0.000664251058164636
"56","A116","1B",1,"Acer","12-Mar-19",7.908,4.88042194810638,"17-Apr-19",7.799,4.69850232776227,36,-0.00105521879543183,-0.000216214664767103
