trial#,date.start,date.end,days,treatment,channel, chamber,species,type,fragments,boat.g,boat.blot.g,fp.g,fp.PCLDM.g,tin.mass.g,tin.dm.g,tin.ash.g,notes
CT3,10-Apr-19,17-Apr-19,7,2,2A,A001,A,microbes,3,1.846,2.0804,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,2,2A,A002,A,microbes,3,1.8467,1.9882,0.4372,0.4888,0.9828,1.0265,0.9908,
CT3,10-Apr-19,17-Apr-19,7,2,2A,A009,A,bug,3,1.7809,1.9914,0.4029,0.4672,1.0224,1.0809,1.0326,bug dead
CT3,10-Apr-19,17-Apr-19,7,2,2A,A010,A,bug,3,1.8516,2.0678,0.3671,0.3798,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,0,0C,A011,A,microbes,3,1.8436,1.9051,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,0,0C,A012,A,microbes,3,1.7675,1.853,0.631,0.6609,0.9727,0.9958,0.9768,
CT3,10-Apr-19,17-Apr-19,7,0,0C,A019,A,bug,3,1.88,2.0799,0.4606,0.5219,0.9846,1.04,0.9921,
CT3,10-Apr-19,17-Apr-19,7,0,0C,A020,A,bug,3,1.7909,1.9703,0.5609,0.6128,0.9816,1.0293,0.9912,"tin, tin.mass, and tin.ash data correspond to ""A021"" on datasheet -- error? Check this later?"
CT3,10-Apr-19,17-Apr-19,7,4,4D,A021,A,microbes,3,1.7193,1.7951,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,4,4D,A022,A,microbes,3,1.7336,1.8091,0.4556,0.4844,1.0147,1.0372,1.0189,
CT3,10-Apr-19,17-Apr-19,7,4,4D,A024,A,bug,3,1.6807,1.8792,0.4806,0.5273,0.9963,1.0456,1.0041,
CT3,10-Apr-19,17-Apr-19,7,4,4D,A029,A,bug,3,1.8967,2.09,0.4755,0.5147,1.1329,1.1765,1.1398,
CT3,10-Apr-19,17-Apr-19,7,3,3D,A031,A,microbes,3,1.7001,1.833,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,3,3D,A032,A,microbes,3,1.7575,1.9293,0.4724,0.5229,1.0321,1.0786,1.0403,
CT3,10-Apr-19,17-Apr-19,7,3,3D,A033,A,bug,3,1.7281,2.0349,0.4741,0.5521,0.9876,1.0622,1.0003,bug dead
CT3,10-Apr-19,17-Apr-19,7,3,3D,A040,A,bug,3,1.6752,1.9597,0.4568,0.5218,0.9702,1.03,0.9804,
CT3,10-Apr-19,17-Apr-19,7,0,0A,A041,A,microbes,3,1.7356,1.8721,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,0,0A,A042,A,microbes,3,1.7511,1.872,0.3879,0.4294,0.9808,1.0098,0.9858,
CT3,10-Apr-19,17-Apr-19,7,0,0A,A049,A,bug,3,1.8348,2.1035,0.3776,0.4605,1.008,1.0832,1.0206,
CT3,10-Apr-19,17-Apr-19,7,0,0A,A050,A,bug,3,1.7739,2.0322,0.452,0.5235,1.1111,1.1727,1.1203,
CT3,10-Apr-19,17-Apr-19,7,0,0D,A051,A,microbes,3,1.8124,1.9334,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,0,0D,A052,A,microbes,3,1.8308,1.9206,0.4363,0.4593,1.1354,1.1514,1.1388,
CT3,10-Apr-19,17-Apr-19,7,0,0D,A059,A,bug,3,1.9006,2.1126,0.5414,0.608,1.0074,1.0708,1.0177,bug dead
CT3,10-Apr-19,17-Apr-19,7,0,0D,A060,A,bug,3,1.7141,1.8998,0.5313,0.5781,1.0677,1.1065,1.0739,
CT3,10-Apr-19,17-Apr-19,7,2,2B,A061,A,microbes,3,1.82,1.9161,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,2,2B,A062,A,microbes,3,1.828,1.902,0.4493,0.5067,1.1007,1.1493,1.1064,
CT3,10-Apr-19,17-Apr-19,7,2,2B,A069,A,bug,3,1.8218,2.0316,0.4235,0.4924,1.0046,1.069,1.015,
CT3,10-Apr-19,17-Apr-19,7,2,2B,A070,A,bug,3,1.7562,1.9606,0.3689,0.3698,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,3,3A,A071,A,microbes,3,1.5928,1.673,NA,NA,NA,NA,NA,
CT3,10-Apr-19,17-Apr-19,7,3,3A,A072,A,microbes,3,1.6737,1.7528,0.4707,0.4966,0.9748,0.997,0.9781,
CT3,10-Apr-19,17-Apr-19,7,3,3A,A079,A,bug,3,1.8688,2.0312,0.4211,0.4773,1.0041,1.0504,1.0135,
