,Chamber,Channel,Temp.TRT,Leaf.spp.,Beg.Date,Beg.Length.mm,beg.mass.mg,End.Date,End.Length.mm,end.mass.mg,Days.in.expt,igr,igr_norm
50,A097,1A,1,A,12-Mar-19,7.884,4.839989375,17-Apr-19,8.222,5.429280296,36,0.003191502,0.000659403
51,A098,1A,1,A,12-Mar-19,7.585,4.353989304,17-Apr-19,7.927,4.912582607,36,0.00335298,0.000770094
52,A105,4C,4,A,12-Mar-19,7.605,4.385483508,17-Apr-19,7.787,4.678741914,36,0.001798038,0.000409998
53,A106,4C,4,A,12-Mar-19,7.88,4.833271357,17-Apr-19,8.828,6.59590062,36,0.0086368,0.001786947
54,A113,1B,1,A,12-Mar-19,8.594,6.128322229,17-Apr-19,9.226,7.44201832,36,0.00539503,0.000880344
55,A114,1B,1,A,12-Mar-19,7.959,4.967051338,17-Apr-19,8.312,5.593491332,36,0.003299369,0.000664251
56,A116,1B,1,A,12-Mar-19,7.908,4.880421948,17-Apr-19,7.799,4.698502328,36,-0.001055219,-0.000216215
57,A117,1B,1,A,12-Mar-19,9.084,7.132691065,17-Apr-19,8.678,6.293663107,36,-0.003476259,-0.00048737
58,A118,1B,1,A,12-Mar-19,8.761,6.459789176,17-Apr-19,7.336,3.973846501,36,-0.013496171,-0.002089259
59,A119,1B,1,A,12-Mar-19,8.457,5.864621905,17-Apr-19,8.249,5.478217732,36,-0.001893283,-0.000322831
60,A120,1B,1,A,12-Mar-19,7.782,4.670524001,17-Apr-19,7.854,4.789748458,36,0.000700184,0.000149916
61,A123,1C,1,A,12-Mar-19,7.384,4.045416779,17-Apr-19,7.297,3.916291383,36,-0.000901096,-0.000222745
62,A124,1C,1,A,12-Mar-19,8.766,6.469884604,17-Apr-19,8.172,5.339389918,36,-0.005334635,-0.000824533
63,A126,1C,1,A,12-Mar-19,7.516,4.246437288,17-Apr-19,7.232,3.821547042,36,-0.002928473,-0.000689631
64,A127,1C,1,A,12-Mar-19,8.605,6.149815197,17-Apr-19,8.764,6.465845232,36,0.001391992,0.000226347
65,A128,1C,1,A,12-Mar-19,7.231,3.820100925,17-Apr-19,7.477,4.18640039,36,0.002543456,0.000665809
66,A129,1C,1,A,12-Mar-19,6.9,3.360306428,17-Apr-19,6.982,3.4707374,36,0.000898192,0.000267295
67,A130,1C,1,A,12-Mar-19,6.309,2.629909991,17-Apr-19,7.165,3.725423471,36,0.009673081,0.003678103
68,A136,3B,3,A,12-Mar-19,7.819,4.731553899,17-Apr-19,7.96,4.968759631,36,0.001358794,0.000287177
69,A137,3B,3,A,12-Mar-19,7.908,4.880421948,17-Apr-19,7.802,4.703450692,36,-0.001025979,-0.000210223
70,A143,4B,4,A,12-Mar-19,8.097,5.206334777,17-Apr-19,7.917,4.895639234,36,-0.001709201,-0.000328293
71,A145,4B,4,A,12-Mar-19,7.885,4.841669805,17-Apr-19,8.264,5.505525719,36,0.003569239,0.000737192
72,A146,4B,4,A,12-Mar-19,8.016,5.065020059,17-Apr-19,7.855,4.791417797,36,-0.001542548,-0.000304549
73,A149,4B,4,A,12-Mar-19,8.09,5.194024873,17-Apr-19,8.411,5.777725343,36,0.002958366,0.000569571
74,A153,0B,0,A,13-Mar-19,9.159,7.295029608,17-Apr-19,8.293,5.558565781,35,-0.007767232,-0.001064729
75,A154,0B,0,A,13-Mar-19,8.339,5.643361458,17-Apr-19,7.947,4.94658089,35,-0.003765237,-0.000667197
76,A155,0B,0,A,13-Mar-19,9.02,6.995990557,17-Apr-19,9.376,7.777877323,35,0.003027036,0.000432682
77,A156,0B,0,A,13-Mar-19,9.405,7.843898345,17-Apr-19,8.966,6.881952295,35,-0.003738102,-0.000476562
78,A157,0B,0,A,13-Mar-19,8.953,6.854676084,17-Apr-19,8.792,6.522542235,35,-0.001419053,-0.00020702
79,A158,0B,0,A,13-Mar-19,8.444,5.839980705,17-Apr-19,8.789,6.516452526,35,0.003131504,0.000536218
80,A159,0B,0,A,13-Mar-19,8.316,5.600861778,17-Apr-19,8.716,6.369379956,35,0.003673761,0.000655928
81,A160,0B,0,A,13-Mar-19,9.255,7.506218312,17-Apr-19,9.329,7.671628628,35,0.000622776,8.2968E-05
82,A173,4A,4,A,13-Mar-19,8.208,5.404014955,17-Apr-19,8.421,5.796545897,35,0.002003429,0.00037073
83,A176,4A,4,A,13-Mar-19,8.001,5.039121031,17-Apr-19,8.469,5.887426103,35,0.00444535,0.000882168
84,A178,4A,4,A,13-Mar-19,7.694,4.527385165,17-Apr-19,7.685,4.512905075,35,-9.15274E-05,-2.02164E-05
85,A183,2D,2,A,13-Mar-19,8.698,6.333442445,17-Apr-19,7.928,4.914278988,35,-0.007248539,-0.001144486
86,A184,2D,2,A,13-Mar-19,9.995,9.265192368,17-Apr-19,10.31,10.08643951,35,0.002426494,0.000261893
87,A185,2D,2,A,13-Mar-19,8.694,6.325473851,17-Apr-19,8.97,6.890358809,35,0.002443949,0.000386366
88,A187,2D,2,A,13-Mar-19,7.969,4.984151048,17-Apr-19,8.647,6.232319116,35,0.006385298,0.00128112
89,A188,2D,2,A,13-Mar-19,8.445,5.841873844,17-Apr-19,8.793,6.52457294,35,0.003157825,0.00054055
90,A190,2D,2,A,13-Mar-19,8.428,5.809743405,17-Apr-19,8.381,5.721496509,35,-0.000437314,-7.52726E-05
91,A193,1D,1,A,13-Mar-19,8.526,5.996514456,17-Apr-19,9.225,7.439810766,35,0.006161915,0.001027583
92,A195,1D,1,A,13-Mar-19,7.545,4.291432368,17-Apr-19,9.759,8.678632067,35,0.020121239,0.0046887
93,A196,1D,1,A,13-Mar-19,8.507,5.960010405,17-Apr-19,8.74,6.417497564,35,0.002113029,0.000354535
94,A197,1D,1,A,13-Mar-19,9.078,7.119804025,17-Apr-19,9.56,8.20280094,35,0.004045585,0.000568216
95,A198,1D,1,A,13-Mar-19,8.082,5.179979049,17-Apr-19,7.875,4.82488216,35,-0.002028991,-0.000391699
96,A199,1D,1,A,13-Mar-19,8.039,5.104895706,17-Apr-19,8.699,6.335435589,35,0.006170244,0.001208692
97,A200,1D,1,A,13-Mar-19,8.368,5.697238971,17-Apr-19,8.007,5.049470531,35,-0.003448522,-0.000605297
98,R003,2A,2,R,12-Mar-19,8.067,5.15370815,17-Apr-19,7.817,4.728242124,36,-0.002393417,-0.000464407
99,R004,2A,2,R,12-Mar-19,8.102,5.21513889,17-Apr-19,9.384,7.796054652,36,0.011168113,0.00214148
100,R005,2A,2,R,12-Mar-19,8.278,5.531090972,17-Apr-19,7.596,4.371293289,36,-0.006536838,-0.001181835
101,R006,2A,2,R,12-Mar-19,8.243,5.467318657,17-Apr-19,8.243,5.467318657,36,0,0
102,R007,2A,2,R,12-Mar-19,7.877,4.828236729,17-Apr-19,8.542,6.027364509,36,0.006161903,0.001276222
103,R009,2A,2,R,12-Mar-19,8.032,5.092738629,17-Apr-19,8.798,6.534732486,36,0.006925436,0.001359865
104,R013,0C,0,R,12-Mar-19,8.124,5.253989228,17-Apr-19,7.653,4.461658448,36,-0.004540753,-0.000864249
105,R014,0C,0,R,12-Mar-19,7.618,4.406032047,17-Apr-19,7.848,4.779740173,36,0.002261435,0.000513259
106,R015,0C,0,R,12-Mar-19,7.713,4.558050991,17-Apr-19,7.878,4.829914568,36,0.001609268,0.000353061
