"","Temp.TRT","Channel","Chamber","Leaf.spp.","Beg.Length.mm","beg.mass.mg"
"109",0,"0D","R057","Rhodo",7.67,6.48818019989515
"110",0,"0D","R058","Rhodo",8.44,8.52426083250068
"111",0,"0D","R059","Rhodo",8.17,7.76910976222064
"112",0,"0D","R060","Rhodo",7.15,5.31051777952889
"113",3,"3A","A073","Acer",7.802,6.81185341558433
"114",3,"3A","A074","Acer",8.239,7.9577755669914
"115",3,"3A","A075","Acer",8.047,7.44004454425426
"116",3,"3A","A076","Acer",8.628,9.07723019591055
"117",3,"3A","A077","Acer",8.388,8.37527753432838
"118",3,"3A","A078","Acer",7.79,6.78200486017907
"119",3,"3A","A079","Acer",7.877,7.00034142247177
"120",3,"3A","A080","Acer",8.668,9.19780841401717
"121",3,"3A","R073","Rhodo",9.309,11.2741050035156
"122",3,"3A","R074","Rhodo",8.562,8.88052911738602
"123",3,"3A","R075","Rhodo",7.827,6.87431165214992
"124",3,"3A","R076","Rhodo",7.94,7.16126299524965
"125",3,"3A","R077","Rhodo",7.832,6.88684775862948
"126",3,"3A","R078","Rhodo",8.192,7.82894494676847
"127",3,"3A","R079","Rhodo",8.012,7.34809281852252
"128",3,"3A","R080","Rhodo",7.966,7.22836895093704
"129",2,"2C","A083","Acer",7.791,6.78448898870557
"130",2,"2C","A084","Acer",7.59,6.29696843867286
"131",2,"2C","A085","Acer",9.022,10.310522712578
"132",2,"2C","A086","Acer",8.583,8.94281235126038
"133",2,"2C","A087","Acer",8.034,7.40580433328196
"134",2,"2C","A088","Acer",8.34,8.23926502042383
"135",2,"2C","A089","Acer",7.777,6.74976493104581
"136",2,"2C","A090","Acer",8.332,8.2167367347804
"137",2,"2C","R083","Rhodo",8.758,9.47290160237242
"138",2,"2C","R084","Rhodo",7.165,5.34236471736893
"139",2,"2C","R085","Rhodo",8.419,8.46388908638452
"140",2,"2C","R086","Rhodo",8.061,7.47703342288861
"141",2,"2C","R087","Rhodo",8.356,8.28444186057569
"142",2,"2C","R088","Rhodo",7.733,6.64138417451364
"143",2,"2C","R089","Rhodo",7.801,6.80936278369068
"144",2,"2C","R090","Rhodo",6.93,4.8575093841281
"145",1,"1A","A093","Acer",7.538,6.1746660993962
"146",1,"1A","A094","Acer",7.6,6.32066697501647
"147",1,"1A","A095","Acer",7.579,6.27096678941089
"148",1,"1A","A096","Acer",8.772,9.51616801808879
"149",1,"1A","A097","Acer",7.884,7.01810439753969
"150",1,"1A","A098","Acer",7.585,6.28514084443556
"151",1,"1A","A099","Acer",7.402,5.86211936500401
"152",1,"1A","A100","Acer",8.009,7.34024577529591
"153",1,"1A","R093","Rhodo",7.402,5.86211936500401
"154",1,"1A","R094","Rhodo",7.96,7.21284687075788
"155",1,"1A","R095","Rhodo",7.36,5.76771953905284
