"","channel","week","mean_temp_C","sd","n","se"
"1","0A","1b",9.27998333333333,1.62203840020719,480,0.0740355850777558
"2","0A","2",9.69144791666667,1.24562838516667,288,0.0733993564991501
"3","0A","3b",9.79573697916667,1.64649648806446,384,0.0840224220633838
"4","0A","4",12.7151909722222,1.25179875665604,288,0.0737629491260311
"5","0A","5",12.967125,1.65216453659136,336,0.0901329648744233
"6","0B","1b",9.33749583333333,1.60388310372702,480,0.0732069129593905
"7","0B","2",9.73438888888889,1.19510946598834,288,0.0704225006383822
"8","0B","3b",9.85259635416667,1.61299739181187,384,0.0823129284662332
"9","0B","4",12.7314965277778,1.2167190216678,288,0.0716958559183303
"10","0B","5",12.9837976190476,1.62544868316605,336,0.088675495581842
"11","0C","1b",9.33872708333333,1.56140997736911,480,0.0712682888432243
"12","0C","2",9.77695486111111,1.21323466397551,288,0.0714905381723052
"13","0C","3b",9.90665364583333,1.63505751843868,384,0.0834386795890848
"14","0C","4",12.8326909722222,1.22812444110727,288,0.0723679267039908
"15","0C","5",13.0677946428571,1.64088022140135,336,0.0895173550110426
"16","0D","1b",9.26634375,1.57727971625237,480,0.0719926400072308
"17","0D","2",9.70580555555556,1.24880123579357,288,0.0735863185153146
"18","0D","3b",9.79068229166667,1.61901189060829,384,0.0826198545726876
"19","0D","4",12.6778229166667,1.21892098849668,288,0.0718256080580513
"20","0D","5",12.9068839285714,1.61535888944565,336,0.0881250522071964
"21","1A","1b",10.378325,1.67743900716412,480,0.0765642652552381
"22","1A","2",10.8893993055556,1.21905900060996,288,0.0718337404998166
"23","1A","3b",10.9520598958333,1.59021305338305,384,0.081150220064619
"24","1A","4",13.8732465277778,1.25439191022895,288,0.0739157521657031
"25","1A","5",14.200619047619,1.66448387701117,336,0.0908050399933006
"26","1B","1b",10.1488875,1.74853837794131,480,0.0798094926884955
"27","1B","2",10.6476458333333,1.18651346752732,288,0.0699159765714774
"28","1B","3b",10.7557369791667,1.57150925480893,384,0.0801957458404857
"29","1B","4",13.6527847222222,1.21498227092036,288,0.0715935168991014
"30","1B","5",13.9936666666667,1.6569153867971,336,0.090392145001604
"31","1C","1b",10.30695,1.66278556861119,480,0.0758954303518668
"32","1C","2",10.7834409722222,1.18703915759354,288,0.0699469531556965
"33","1C","3b",10.9204661458333,1.59032887181297,384,0.0811561303991212
"34","1C","4",13.7641041666667,1.18289416657643,288,0.0697027072176839
"35","1C","5",14.0826875,1.62232155027911,336,0.0885048964965727
"36","1D","1b",10.2231833333333,1.67385790425785,480,0.0764008110183623
"37","1D","2",10.7010555555556,1.21515790561506,288,0.0716038662727378
"38","1D","3b",10.807671875,1.57223080994144,384,0.0802325675466509
"39","1D","4",13.7023506944444,1.18496286064775,288,0.0698246061848528
"40","1D","5",14.0248154761905,1.69807561718264,336,0.0926376196606944
"41","2A","1b",11.02516875,1.80425231730241,480,0.082352474468125
"42","2A","2",11.6079305555556,1.23094845816505,288,0.0725343335049696
"43","2A","3b",11.7031692708333,1.59263701551188,384,0.0812739173640241
"44","2A","4",14.6329548611111,1.20567373044984,288,0.0710450058916306
"45","2A","5",14.8515892857143,1.66398568926954,336,0.0907778616238205
"46","2B","1b",11.0842875,1.8102932531703,480,0.0826282042050653
"47","2B","2",11.65565625,1.21058886377814,288,0.071334632900537
"48","2B","3b",11.7470494791667,1.55423971663387,384,0.079314463410852
"49","2B","4",14.6646527777778,1.17603873172989,288,0.0692987468453525
"50","2B","5",14.9118601190476,1.68897407739321,336,0.0921410899580072
"51","2C","1b",10.8980875,1.77803709902857,480,0.0811559189349161
"52","2C","2",11.4927916666667,1.17728213472331,288,0.0693720150693857
"53","2C","3b",11.605390625,1.54574262565547,384,0.0788808480526213
"54","2C","4",14.5023055555556,1.266772767425,288,0.0746453011723887
"55","2C","5",14.7575238095238,1.66538742371654,336,0.0908543325072444
"56","2D","1b",11.0110458333333,1.77934846922417,480,0.0812157745213639
"57","2D","2",11.6302361111111,1.17363063054322,288,0.0691568481221131
"58","2D","3b",11.7035989583333,1.54598368748938,384,0.0788931496878196
"59","2D","4",14.6161840277778,1.15277620851651,288,0.0679279895193785
"60","2D","5",14.8621160714286,1.8791338751711,336,0.102515157427706
"61","3A","1b",11.9547291666667,1.96732567053051,480,0.0897957206423781
"62","3A","2",12.50209375,1.24261283458909,288,0.0732216634772821
"63","3A","3b",12.7311588541667,1.55747534487557,384,0.0794795808731336
"64","3A","4",15.6600069444444,1.1570651175983,288,0.0681807159106804
"65","3A","5",15.8878482142857,1.7723468961171,336,0.0966894501092456
"66","3B","1b",11.9828729166667,2.00054890027624,480,0.0913121466727876
"67","3B","2",12.6427395833333,1.18618827566565,288,0.0698968144572634
"68","3B","3b",12.8005625,1.56019331708736,384,0.0796182818117575
"69","3B","4",15.7136701388889,1.17513589348826,288,0.0692455465917715
"70","3B","5",15.8895625,1.8819638493899,336,0.102669545178568
"71","3C","1b",11.94208125,1.97840512401297,480,0.0903014261921424
"72","3C","2",12.5728402777778,1.19633081124745,288,0.0704944690979566
"73","3C","3b",12.708546875,1.61155781400337,384,0.0822394653188196
"74","3C","4",15.6656319444444,1.17110236787788,288,0.0690078688158391
"75","3C","5",15.8529821428571,1.91110334146789,336,0.104259234799519
"76","3D","1b",11.97134375,1.99906347920885,480,0.091244346787287
"77","3D","2",12.6395729166667,1.20721127144261,288,0.071135606363492
"78","3D","3b",12.8067083333333,1.57914581409565,384,0.0805854473747142
"79","3D","4",15.7216423611111,1.16963957068291,288,0.0689216726645006
"80","3D","5",15.9248660714286,1.81433823219806,336,0.0989802653011899
"81","4A","1b",12.8739541666667,2.18166650260388,480,0.0995789963691291
"82","4A","2",13.5360520833333,1.17534706894156,288,0.0692579902246924
"83","4A","3b",13.6063567708333,1.64481610400232,384,0.0839366703232973
"84","4A","4",16.6285243055556,1.16483161414114,288,0.068638361108306
"85","4A","5",16.6596607142857,1.93065684076181,336,0.105325965640182
"86","4B","1b",12.9893083333333,2.16737514220048,480,0.0989266879965973
"87","4B","2",13.6993680555556,1.1757696078243,288,0.0692828885671343
"88","4B","3b",13.8057473958333,1.6191560807505,384,0.08262721274507
"89","4B","4",16.7357777777778,1.15791873511707,288,0.0682310158053525
"90","4B","5",16.8496607142857,1.84874995388891,336,0.100857578627882
"91","4C","1b",12.8026708333333,2.22395915369648,480,0.101509382954138
"92","4C","2",13.3085694444444,1.37375219099686,288,0.0809491241603132
"93","4C","3b",13.7090234375,1.61940418949476,384,0.0826398739914065
"94","4C","4",16.6407256944444,1.18984996174431,288,0.0701125813786629
"95","4C","5",16.7846607142857,1.77877937967487,336,0.0970403708569842
"96","4D","1b",12.8811229166667,2.23876387742152,480,0.102185123049291
"97","4D","2",13.5581701388889,1.22411878090618,288,0.0721318909130474
"98","4D","3b",13.7902708333333,1.60897597117081,384,0.0821077112034896
"99","4D","4",16.7271076388889,1.18092477738293,288,0.0695866598465568
"100","4D","5",16.8976875,1.76487862860142,336,0.0962820227139984
