trial#,date.start,date.end,days,treatment,channel, chamber,species,type,fragments,boat.wt (g),boat+blotted wt (g),fp.wt (g),fp.PCLDM.wt (g),notes
CT1,12-Mar-19,20-Mar-19,8,3,3D,A033,A,bug,3,1.8469,1.9908,0.3898,0.4142,
CT1,12-Mar-19,20-Mar-19,8,3,3D,A034,A,bug,3,1.6805,1.8431,0.4162,0.4459,
CT1,12-Mar-19,20-Mar-19,8,3,3D,A035,A,bug,3,1.7022,1.8227,0.3502,0.372,
CT1,12-Mar-19,20-Mar-19,8,3,3D,A036,A,bug,3,1.6784,1.8004,0.3437,0.364,
CT1,12-Mar-19,20-Mar-19,8,0,0C,R011,R,microbes,2,1.7081,1.9691,0.3058,NA,Microbes
CT1,12-Mar-19,20-Mar-19,8,0,0C,R012,R,microbes,2,1.8535,2.0172,0.3966,0.4494,Microbes
CT1,12-Mar-19,20-Mar-19,8,0,0C,R013,R,bug,2,1.6562,1.7683,0.4654,0.4989,
CT1,12-Mar-19,20-Mar-19,8,0,0C,R014,R,bug,2,1.6992,1.9252,0.5588,0.6231,
CT1,12-Mar-19,20-Mar-19,8,0,0C,R015,R,bug,2,1.7575,1.9047,0.346,0.3902,
CT1,12-Mar-19,20-Mar-19,8,0,0C,R016,R,bug,2,1.7032,1.9735,0.4448,0.5237,
CT1,12-Mar-19,20-Mar-19,8,0,0C,A011,A,microbes,3,1.7331,1.8434,0.4217,NA,Microbes
CT1,12-Mar-19,20-Mar-19,8,0,0C,A012,A,microbes,3,1.7526,1.9163,0.3385,0.3759,Microbes
CT1,12-Mar-19,20-Mar-19,8,0,0C,A013,A,bug,3,1.7045,1.8854,0.3861,0.4236,
CT1,12-Mar-19,20-Mar-19,8,0,0C,A014,A,bug,3,1.7031,1.8758,0.3242,0.3598,
CT1,12-Mar-19,20-Mar-19,8,0,0C,A015,A,bug,3,1.6832,1.8092,0.4559,0.4803,
CT1,12-Mar-19,20-Mar-19,8,0,0C,A016,A,bug,3,1.8359,2.0073,0.4382,0.4664,
CT1,12-Mar-19,20-Mar-19,8,0,0D,R051,R,microbes,2,1.7989,1.9988,0.4231,NA,Microbes
CT1,12-Mar-19,20-Mar-19,8,0,0D,R052,R,microbes,2,1.7023,1.8871,0.427,0.4851,Microbes
CT1,12-Mar-19,20-Mar-19,8,0,0D,R053,R,bug,2,1.6395,1.8692,0.4204,NA,
CT1,12-Mar-19,20-Mar-19,8,0,0D,R054,R,bug,2,1.7172,1.9435,0.374,0.436,
CT1,12-Mar-19,20-Mar-19,8,0,0D,R055,R,bug,2,1.7817,2.0259,0.3971,0.4895,
CT1,12-Mar-19,20-Mar-19,8,0,0D,R056,R,bug,2,1.7902,NA,0.4334,0.5235,
CT1,12-Mar-19,20-Mar-19,8,0,0D,A051,A,microbes,2,1.8096,1.8991,0.403,0.4061,Microbes
CT1,12-Mar-19,20-Mar-19,8,0,0D,A052,A,microbes,3,1.8503,1.9752,0.4499,0.4874,Microbes
CT1,12-Mar-19,20-Mar-19,8,0,0D,A053,A,bug,3,1.8296,1.9951,0.4225,0.46,
CT1,12-Mar-19,20-Mar-19,8,0,0D,A054,A,bug,3,1.8055,1.9749,0.4279,0.4603,
CT1,12-Mar-19,20-Mar-19,8,0,0D,A055,A,bug,3,1.7139,1.8115,0.4261,0.4499,
CT1,12-Mar-19,20-Mar-19,8,0,0D,A056,A,bug,3,1.72,1.8192,0.5176,NA,
CT1,12-Mar-19,20-Mar-19,8,2,2B,R061,R,microbes,2,1.7494,1.8914,0.3994,0.3996,Microbes
CT1,12-Mar-19,20-Mar-19,8,2,2B,R062,R,microbes,2,1.8176,1.9473,0.3945,0.4197,Microbes
CT1,12-Mar-19,20-Mar-19,8,2,2B,R063,R,bug,2,1.739,1.9089,0.45,0.5245,
