"","trial","date.start","date.end","days","treatment","channel","chamber","species","mean_temp_C","AFDM_beg_mg","AFDM_end_mg","consumption.rate.mg.day","mean_microbe_consumption","consumption.bug.mg.day.mcorr","consumption.bug.mg.day.mcorr.modmasscorr","consumption.bug.mg.day.modmasscorr"
"1","CT1",2019-03-12,2019-03-20,8,2,"2A","A004","A",11.0764583333333,42.2023615000001,27.1000000000001,1.88779518749999,1.29812330833333,0.58967187916666,0.0738836898937043,0.23653370483461
"2","CT1",2019-03-12,2019-03-20,8,2,"2A","A005","A",11.0764583333333,50.9569953,34.3,2.0821244125,1.29812330833333,0.784001104166671,0.133248289531268,0.353876435992799
"3","CT1",2019-03-12,2019-03-20,8,2,"2A","A006","A",11.0764583333333,43.8569454,27.2999999999999,2.06961817500002,1.29812330833333,0.771494866666685,0.0908407996220848,0.243690240923699
"4","CT1",2019-03-12,2019-03-20,8,2,"2A","A009","A",11.0764583333333,51.3968214000001,24.4,3.37460267500001,1.29812330833333,2.07647936666668,0.192641481734716,0.313072438866325
"5","CT1",2019-03-12,2019-03-20,8,2,"2A","A010","A",11.0764583333333,54.4337159,34.9999999999999,2.42921448750002,1.29812330833333,1.13109117916668,0.111315490042893,0.239069321798247
"6","CT1",2019-03-12,2019-03-20,8,0,"0C","A013","A",9.41552777777778,37.8878769,28.3,1.1984846125,0.695189524999995,0.503295087500008,0.0793809473603912,0.189027960534385
"7","CT1",2019-03-12,2019-03-20,8,0,"0C","A014","A",9.41552777777778,36.1704607,25.0999999999999,1.38380758750001,0.695189524999995,0.688618062500014,0.0785221149599348,0.157793564219939
"8","CT1",2019-03-12,2019-03-20,8,0,"0C","A015","A",9.41552777777778,26.389566,18,1.04869574999999,0.695189524999995,0.353506225,0.0557768625761522,0.16546514486964
"9","CT1",2019-03-12,2019-03-20,8,4,"4D","A023","A",12.9171967592593,23.8134417,20.3000000000001,0.439180212499991,0.535808577777772,-0.0966283652777804,-0.0114630954172425,0.0521002778716145
"10","CT1",2019-03-12,2019-03-20,8,4,"4D","A024","A",12.9171967592593,23.6877771,22,0.210972137500002,0.535808577777772,-0.324836440277769,-0.0608593871230926,0.039526461308712
"11","CT1",2019-03-12,2019-03-20,8,4,"4D","A025","A",12.9171967592593,38.8303614,34.8000000000002,0.503795174999979,0.535808577777772,-0.0320134027777925,-0.00393691411996152,0.0619552489247339
"12","CT1",2019-03-12,2019-03-20,8,4,"4D","A026","A",12.9171967592593,30.3061127,29,0.163264087499998,0.535808577777772,-0.372544490277773,-0.048988811805739,0.0214688818809523
"13","CT1",2019-03-12,2019-03-20,8,3,"3D","A033","A",12.0110925925926,30.1385599,19.4000000000001,1.34231998749999,0.42280961666666,0.919510370833327,0.0927228884937827,0.135358763176471
